שם החברה,מגזר,תפקיד לחפש בלינקדאין,אתר החברה,דומיין למציאת מייל,סטטוס פנייה,שם איש קשר,מייל,טלפון,הערות
בנק הפועלים,פיננסים,VP HR / Chief People Officer,bankhapoalim.co.il,bankhapoalim.co.il,,,,,
בנק לאומי,פיננסים,VP HR / ראש HR,leumi.co.il,leumi.co.il,,,,,
בנק דיסקונט,פיננסים,Head of HR / Digital Lead,discountbank.co.il,discountbank.co.il,,,,,
מזרחי טפחות,פיננסים,מנהל משאבי אנוש,mizrahi-tefahot.co.il,mizrahi-tefahot.co.il,,,,,
הפניקס,ביטוח,CPO / VP HR,phoenix.co.il,phoenix.co.il,,,,,
מנורה מבטחים,ביטוח,מנהל HR,menora.co.il,menora.co.il,,,,,
הראל ביטוח,ביטוח,HR Director / AI Lead,harel-group.co.il,harel-group.co.il,,,,,
קופת חולים כללית,בריאות,VP HR / ראש פיתוח דיגיטלי,clalit.co.il,clalit.co.il,,,,,
קופת חולים מכבי,בריאות,מנהל HR / Digital Transformation,maccabi.co.il,maccabi.co.il,,,,,
קופת חולים מאוחדת,בריאות,HR Lead / AI Innovation,meuhedet.co.il,meuhedet.co.il,,,,,
שיבא - תל השומר,בריאות,מנהל HR / ראש חדשנות,sheba.co.il,sheba.co.il,,,,,
הדסה,בריאות,מנהל HR,hadassah.org.il,hadassah.org.il,,,,,
בזק,תקשורת,VP HR / Chief People Officer,bezeq.co.il,bezeq.co.il,,,,,
סלקום,תקשורת,CHRO / Chief People Officer,cellcom.co.il,cellcom.co.il,,,,,
פרטנר,תקשורת,Chief People Officer / VP HR,partner.co.il,partner.co.il,,,,,
הוט,תקשורת,HR Director / Digital Transformation,hot.net.il,hot.net.il,,,,,
Wix,טכנולוגיה,Chief People Officer / VP People,wix.com,wix.com,,,,,
Monday.com,טכנולוגיה,VP People / Chief People Officer,monday.com,monday.com,,,,,
אמדוקס,טכנולוגיה,VP HR / AI Adoption Lead,amdocs.com,amdocs.com,,,,,
צ׳ק פוינט,סייבר,VP HR / Chief People Officer,checkpoint.com,checkpoint.com,,,,,
נייס,טכנולוגיה,HR Director / AI Lead,nice.com,nice.com,,,,,
סייברארק,סייבר,Chief People Officer / People & Culture,cyberark.com,cyberark.com,,,,,
WalkMe,טכנולוגיה,VP HR / People Lead,walkme.com,walkme.com,,,,,
Gong,AI / מכירות,VP People / CHRO,gong.io,gong.io,,,,,
AI21 Labs,בינה מלאכותית,Head of People / VP HR,ai21.com,ai21.com,,,,,
JFrog,DevOps,Chief People Officer,jfrog.com,jfrog.com,,,,,
Radcom,טכנולוגיה,VP HR,radcom.com,radcom.com,,,,,
חברת החשמל,תשתיות,VP HR / ראש פיתוח ארגוני,iec.co.il,iec.co.il,,,,,
רכבת ישראל,תחבורה,מנהל משאבי אנוש / ראש דיגיטל,rail.co.il,rail.co.il,,,,,
מקורות,מים,HR Director / Digital Lead,mekorot.co.il,mekorot.co.il,,,,,
רפאל,ביטחון,VP HR / ראש פיתוח ארגוני,rafael.co.il,rafael.co.il,,,,,
אלביט סיסטמס,ביטחון,HR Director / AI Innovation,elbitsystems.com,elbitsystems.com,,,,,
תעשייה אווירית,ביטחון,מנהל HR / ראש חדשנות,iai.co.il,iai.co.il,,,,,
שופרסל,קמעונאות,VP HR / Chief People Officer,shufersal.co.il,shufersal.co.il,,,,,
רמי לוי,קמעונאות,מנהל HR,rami-levy.co.il,rami-levy.co.il,,,,,
אל על,תעופה,Chief People Officer / VP HR,elal.co.il,elal.co.il,,,,,
קבוצת אלון,אנרגיה,HR Director,alon.co.il,alon.co.il,,,,,
משרד האוצר,ממשל,ראש מחלקת דיגיטל / AI Lead,mof.gov.il,mof.gov.il,,,,,
המוסד לביטוח לאומי,ממשל,ראש HR / Digital Transformation,btl.gov.il,btl.gov.il,,,,,
רשות המסים,ממשל,ראש חדשנות / AI Lead,taxes.gov.il,taxes.gov.il,,,,,
עיריית תל אביב,רשות מקומית,VP HR / ראש דיגיטל,tel-aviv.gov.il,tel-aviv.gov.il,,,,,
עיריית חיפה,רשות מקומית,מנהל HR / ראש דיגיטל,haifa.muni.il,haifa.muni.il,,,,,
עיריית ירושלים,רשות מקומית,VP HR / Digital Lead,jerusalem.muni.il,jerusalem.muni.il,,,,,
